id,essay,prompt,formal_register,thematic_coherence,narrative_rhetorical_structure,cohesion
1196,"[t] As tintas e o pincel
[p] Em um domingo de manhã meu
amigo Paulo veio em minha casa para
fazer um trabalho da escala, a gente tinha 
que pintar um desenho com tintas, então mi-
nha mãe falou que tinha uma caixa ver-
melha dentro da gaveta dela  cheia de tintas.
[p] Então eu fui pegar a caixa de tin-
tas, mas quando eu abri a caixa, eu ér-
cebi que dentro dela não tinha pincel, en-
tão eu e meu amigo fomos no merca-
dinho da esquina para ver se tinha pin-
cel lá.
[p] Chegando lá a gente não achou 
o pincel, então voutamos para minha 
casa e resolvemos pintar com as mãos.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4,3,4,4
672,"[T] O misterio do meu quarto.
Estava eu arrumando meu quarto
quando olhei em cima do armario! encontri
um pote de tintas. então pensei não gosto das
paredes do meu quarto vou pintar elas quando
deeci do armario, minha mãene chama. filho vem
almoçar [S] fui almoçar. quando voltei, os potes de tinta
sumiram! tinha roupas espalhadas no chão
armario aberto janela aberta. perguntei minha mãe e [X]
disse, filho não vi não. procurei em todos os lugares e
não achei fiquei muito triste minha mãe chegou em mim
e falou não fique triste se as tintas sumiram liga
para seu amigo Arthur para voçês brincarem aqui em 
casa no jardim de bola, no outro dia achei [X]
tintas e FIM","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
1143,"[T]a tinta magica
[P]Eu Encontrei em Cima do armário Alguns potes com tinta. Então
Resolvi pintar na parede do meu quarto Alguns Animais.tempo depois, quando
voltei no quarto, não havia mais nenhuma pintura e as roupa da gaveta
Estavam espalhadas pelo chão. E eu mim aprosimei das roupas e achei
muito estranho e não tinha mais as pinturas dos animais da parede do
meu quarto e depois escutei alguma coisa correndo no meu quarto. e olhei
para tras e não vir nada e depois. eu vi um coelho e depois apareseo
um monte de animais e fiquei asustada e fiquei pensando como um
desenho saiu da parede e fico da vida Real e depois pensei sera que
as tintas são magica e eu fui e desenhei um gato na parede e
escutei a minha mãe fala e fui lá com ela e alguna minutos
voltei para o quarto e vir um gatinho na minha cama e o gatinho
que desenhei não tava na parede e depois descubrir que a tinha
Era magica.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
839,"[T] [?]
[P]Encontrei embaixo da mesa da cosinha tentas e resolvi Pintar a área de serviço
quando eu sair e voltei encontrei vários homens limPando toda a Parede, dai
eu Fiquei cem entender nada! e Perguntei Pra minha mãe, mãe a cenhora sabe o
que estar acontecendo aqui? e ela respondeu: quando eu cheguei em casa eles
já estavam aqui.
[P]Dai eu cheguei em um dos homens e Perfuntei, moço o que é isso na minha casa?
e o moço respondeu: eu estava Passando e vi a porta aberta e resolvi en-
trar quando eu cheguei na área de cerviço e vi  Parede Pintada ai eu Pen-
sei deve ter cido algun moleque atrevido e chamei alguns amigos meu Pra me ajudar
e ccomeçei a limpar tudo Pra ajudar vocês, e a menina respondeu: obrigado moço
foi muito generoso da sua Parte e chamei a minha mãe e esPliquei tudo para
ela... e ela Falou obrigado moço e só pra agradecer eu vou te dar um pre
sente.
[P]maria vitória","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
54,"EM QUARTO GABI ESTA PROCURANDO UMA
ROUPA PARA PASSAR UM TEMPO COM
SUA MÃE E NO MEIO DO CAMINHO
E VE UM PAPELARIA E FALA PRA MAE
PARAR O CARRO POR QUE A GABI A
TEMPO QUERENDO PINTAR SEU QUARTO
COM UMA IMAGEM DA PRAIA EM SEU
QUARTO POR ELA SÓ VAI DE VEZ EM
QUANDO E ELA VAI PRECISSA DAS
CORES AZUL, VERDE, MARROM, AMARELO,
VERMELHO, PRETO E LARANJA PRA EU
PINTA ENTÃO A MAE PARA O CARRO
E DA A FILHA 50 REAIS PARA ELA
COMPRAR AS CORES E ENTÃO GABI
COMPRA AS CORES E DEPOIS ESCOLHENDO
ELA COMPRA E VOLTA PRO CARRO
E VAM PRO SEU PASSEIO E QUANDO
VOLTARAM A CASA ELA VAI PINTAR
[LC] A PAREDE DE SEU QUARTO E PINTA
[LC] SOA PAEDE VAI FAZENDO O FORMATO
[LC] MAS ESTA MUITO TARDE E ENTÃO
ELA FOI DORMIR E NA MANHÃ
SEGUINDO ELA CONTINUA PINTANDO
E SUA MAE CONVIDA A GABI A
PASSEAR NA PRAIA E GABI A
MAS COM UM CONDIÇÃO ELA
TRAZERIA OS POTES DE TINTAS
E A MAE ACEITA E QUANDO CHEGAM
ELA PINTA O LUGAR ONDE SALVA-
VIDA. FICO O FAROL E SE DIVERTEM","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,3,4,3
677,"[T] O mistério da pintura da parede.
Era uma vez, uma minina que se chamava Ana Clara ela
achou um pote e tinta e resolveu brincar com eles . eles . ela
queria pegar par ela brincar com seu amigo Gabriel, eles são muito
amigos da escola. Eles sé conheseram no primeiro dia de ela, Ela achou
ele legal e eles foram sé conhecendo melhor. Até que eles sé conheserão
Finalmente eles sé conheseram melhor [x] dia Ana Clara resolveu convidar
ele [x] sua casa quando ela achou o potes de tinta, eles pintaram a parede
do quarto e foi lancha com ele mas, Cando ela chegou no quarto
não tinha pintura nhenuma e as roupas dela estava no chão e ela
ficou muito preucupada com o que aconteceu, Então ela e o amigo
resolveraram envestigar eles procuraram pistas pela casa.
[P]Eles acharam uma coisa muito facinante descobriram quem
tirou as pinturas foi a mãe da menina que limpou a parede
e tirou a roupa [?].","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4,4,5,3
730,"[T] Onibus dos jogadores
[P} Meu pai estava indo jogar bola
nocampo no barro
cai que e camo era era longe resolveu pegar 
um ônibus no meu bairro não eu meu
omigos famos pigar na posto de piscale
zação então dei fé que estava faltando
um za gueiro desci do onibus
e fui atrar dele que estava  aca
bando de sair  com a chuteira 
fiquei muito feliz de ver que
ia entrar todos no campo ,
dos joga dores , que ia tocer 
e ai fiquei mais animado , nosso campeonato
e o mais esperado modo no nosso bair
ro fomos campeão foi um dia de muita ani
mação","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,3,3
630,"[T] O dia que eu Comi Tinta [S]
[X] um certo dia eu estava na Pracinha [S]
com meus amigos e achei um Pote de [S]
tinta e eu tive a ideia de levar Pra casa.
ea me deu muita fome . [X] que mão
tinha nada Para corme . sotinha a
tinta Para comer iai eu comi a Tinta
e eu Pa sei muito mal e fuí Para o
os Pital [?] [X] dois soro e FIM","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,2,4,3
56,"EU TAVA BRINCADO NA MINHA RUA E MINHA
[LT] MÃE FOI AO ATACADÃO FAZER A FERA , E EU
[LT] PIDI PARA COMPRA TINTA , MAS NÃO FALEI NADA
[LT] E ELA DEIXOU NOS CHAMOU, O URBE PARA
[LT] IR PARA CASA EU PINTEI , O MEU QUARTO E
[LT] FECHEI A PORTA DO MEU , QUARTO E O
[LT] MEU IRMÃ TAVA NA SALA, DA MINHA CASA E
[LT] ELE FOI NO MEU QUARTO, E ELE ERA DANADO
[LT] E ELE FOI E APAGOU A MINHA, PINTURA E
[LT] EU FIQUEI BRAVO MUITO BRAVO, QUANDO
[LT] [LC] EU CHEGEI EU VIR O MEU, IRMÃ APAGADO
[LT] [LC] A MINHA PINTURA E EU FALEI, A MINHA MÃE
[LT] BATEU NELE E EU PINTEI, O MEU QUARTO
[LT] DENOVO E ELE NÃO, APAGOL MAS NÃO
[LT] DEPOIS DE ELE A PAINHA, EU E ELE
[LT] PINTOL GUTO NOS NULA, MAS BREGAMO
[LT] MAS NÃO E O MEU, QUARTO MAS
[LT] QUE PENA QUE EU TIVE, QUE PINTA DE OUTRA
[LT] [LC] COISA MAS EU NÃO, QUERIA MAIS NÃO
[LT] [LC] E EU, PINTEI DE OUTRA COR.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,2,4,2
86,"Eu uaninao cuneo Dapitula de ua
TiKAnião da Gafta ToDoBagusaDa
ia ropaBaGusaDa apituRa caniu tuDo A TeTA
Eu de chenu A MiNHAe ema A Pula i XAMavA mAis
uanimao Viu [?] Eu una [x] e caVaLo
eu rupas. ANCHAnA Eu e os Aimais","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",1,1,1,1
649,"[T] O lugar assombrado 
Um dia fui passear com meus amigos e amigas tinha um Banco 
lá quando nós chegamos como tinha muita gente não deu tudo só em 
um banco ai eles e elas me chamaram pra ir em uma um preço que 
ficara ali perto quando nós chegamos eu achei aquele lugar Bem estranho
era escuro e parecia abandonado quando agente entrou tinha 
uma bicicleta lá eu [X] não gostei Daquele lugar, então 
falei pra eles e, elas falaram que era coisa da minha cabeça e 
que aquele lugar não era assombrado mais eu sabia que 
tinha alguém com agente naquele lugar então minha amiga que 
dizer melhores amigas me chamou prair no Banheiro eu fui [?] 
achei nenhum problema, quando cheguei eu aproveitei e fui 
logo pro banheiro do nada escutei fechar a porta e trancar e 
[X] O minha amiga demos um grito tentamos abrir 
a porta e não conseguimos então passou horas e eu tive 
uma ideia de gritar até vir salva agente, então contei 
isso pra ela e nós conseguimos chamalos mais oque eu mão 
sabia era que não tenha a chave estava com alguém 
que estava naquele lugar entao eu gritei e falei que não 
era coisa da minha cabeça e eles continuaram e falavam 
que não é verdade que ainda era coisa da minha cabeça entao 
eles acharam a chave e falaram viu como é coisa da sua cabeça 
então eu e minha melhor amiga dizemos pra eles acreditar em 
nós, porque aquilo era verdade ele continuaram e não pararam 
mais eles foram no Banheiro e quando eles iam sair 
trancaram eles tá dentro do Banheiro eles [X] [X] grita-
ram eu e minha melhor amiga fomos lá eles falaram que alguém 
de nós duas tranco eles tá dentro e Botou culpa em nós eu 
disse que era nós que trancou ele lá dentro e vir uma coisa correr 
corri atrás, só que ele deixou cair a chave então eu peguei o destranqueiel","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
277,"[T] A mala, o ônibus e muitas a veituras
[P] Atenção, passageiros! [S] 
[P] vamos logo embarcar,
peguem já suas bagagens,
No ônibus vamos entrar!
puta! Que mala pesada
fica até dificil Subir,
Quase caí da escada
até que enfim Consegui!
apois a mala no joelho,
pra colocar na bagageiro,
 ufa! Que baita esforço,
Quase cai no passageiro
Sento na minha poltrona, 
Começo a assobiar,
estou esperando ansioso,
A viagem começar!
motorista dá a partida
O ônibus começa a andar,
Quebra molas, pos toda pista
faz toda mundo balançar?
pra direita, pra esquerda, 
o ônibus começa virar,","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,2,3
109,"Um dea eu meu amgo fomos á praça brincar no
parque depois nós compramos lanches,eu comprei
um hamburguer e meu amigo comprou uma fatia
de bolo, e iemos comer banca perto de uma árvore
de repente um vento forte derrubou a árvore eu e meu
amigo corremos muto rapido para longe mas um
galho bateu na cabeça do meu amgo Paulo e começou a
sangrar muito e ele foi pro hospital e eu fui [X]
ao parque sozinho e me sentei no banco e v outra
árvore crecendo novamente, depois fui visitar o [X]
no hospital, e ele disse pra mm:
_No outro mês eu vou pra casa denovo, eu fiquei
alegre com a notícia, e no outro mês Paolo saiu do 
hospital e quando fomos ao parque, já tinha crecido
outra árvore muito mais alta que antes e meu amigo
Disse:
_Não vamos sentar lá denovo, e eu disse:
_Tabom, amigo não vamos sentar lá.
E quando chegamos em casa passamos a noite jogando
vidio game, No dia seguinte fomos a rodoviaria
porque eu ia viajar para Belém visitar minha vó e 
meu vô, e falei para Paulo que ia ficar[X] em Belém
por um ano fora da cidade, e ele foi ao parque 
novamente sentou no banco e um vento fraco
soprava as folhas que formavam um tapete
colorido e um pequeno galho caiu ao seu lado
e depois foi embora.
Um ano se passou e eu e Pablo fomos ao parque
todos os dias.
na minha rua fiz mais amigos.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,5,3
613,"[T] O bosque
[P] Em uma bela tarde!
uma menina chamada vanete decidiu subir em
uma arvore de um bosque que tinha proximo a sua
casa até que ela ouviu algo imprecionante saindo do
bico de um lindo passáro azul.
[P] O passáro disse paraela ela seguir em frente pois [X]
era uma floresta magica ela ficou muito assustada por
que ela nunca tinha visto um passáro falante e saiu
correndo para sua casa.

[P] No outro dia vanete não conseguia parar de pensar
naquele lindo passaro então ela decidiu voltar la.
sentou na mesma arvore do bosque e o passáro
voltou la e novamente repetiu siga em frente pois
aqui é uma floresta magica dessa vez ela foi la no
bosque e viu varios animais magicos falantes
[X] até que ela viu uma forte luz. branca um pouco
mais a frente então ela foi ate la e viu uma grande
caixa de ouro que tinha varios colares e aneis brilhantes
então ela levou pra casa dela e vendeu todas as 
joias e ficou Milionaria.

Fim","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,2,5,3
855,"[T] [X]
Corri para sala e la estavam exatamente os animais que eu desenhei na
parede uma onça um leão e um crocodilo. Foi quando meu irmão mais
velho me puxou falei para ele oque tinha acontecido achei que ele
não iria acreditar mas ele mesmo viu aquilo obvio que acreditou
tiramos as roupas do chão e então desenhei um dinossauro passou 1 ho-
ra e estavamos com medo então ele apareceu era tão grande com que
uma patada quebrou nossa casa matou a onça o leão ate o croco-
dilo mas estavamos do lado de fora por pouco  não fomos
esmagados nossa mãe chegou e nos perguntou que monstro era aquele
que correu destruindo varias casas nos não sabiamos explicar então
pegamos tintas e mostramos a ela desenhamos uma ave e ela
apareceu na hora minha suspeita era que animais maiores
demoravam mais para aparecer e animais menores demoram
menos subimos na ave e começamos a voar nela procurando
o dinossauro quando achamos ele tive uma ideia apagar o
desenho talvez ele desaparecese, apaguei o desenho e como espe-
rado ele desapareceu maslembrei de uma coisa eu tinha desenha-
do um tira nossauro rex e um godsila foi quando uma chama
passou de raspão em meu ombro virei para tras vi o famoso
e temido godsila fiquei apavorado soltei o caderno de desenho
e comecei a correr feito louco meu irmão tinha desmaiado e
minha mãe nem se fala meu caderno foi queimado e não
tinha como apagar os desenhos o unico jeito era enfrentando o monstro
desenhei em um muro uma espada de fogo e uma arte viver e ac-
hei meus parentes eles queriam ficar la então decidi infrentalos
achei o tiranossauro rex e joguei fogo nele ele queimou ate a mo-
rte. Achei o godsila e agora era fogo VS fogo durou muito tempo
a luta mais venci e agora eu e minha familia estamos pagan-
do as casas destruidas eu acho injusto porque não fomos nos
que destruimos e sim os dinossauros","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
953,"[T] o quarto
[P] eu fui no meu amigo quando fui no meu quarto
e quando vem minhas mãe roupas e tintas
foi no meu pai na minha mãe no inmão na inmã
no meus primos nos meu a vovôs no meu tio
na minha tia por meu amigo que tava lá na minha
casa por inmão fui na Rua era meu goto gago","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,1,2,2
1230,"um dia estava [X] pela rua e me deparei com um
caminho de pedras que [?] ate um bosque entrei lá morrendo de medo.
e me deparei com uma arvore linda me [X] fiquei tao encantada
que nem quis sair da quele lugar maravilhoso.
[T][?]
em um [X] quente de verão eu estava passeando de patins com meu
melhor amigo quando fiquei com [X] sede disse para meu amigo [X]
se ele [X] pegar uma garrafa de agua na barraquinha ao lado.
ele foi. E enguanto ele não chegava me sentei um pouco em [X] de 
uma arvore uma folha seca [X] no chao e vuou seguir a folha e fui
parar em um lindo bosque com flores azuis, rosas, etc. fiquei lá por
muito tempo. ai acordei. FIM
carolina","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,5,3
989,"[T] uma aventuro livrastica.
[P] Era uma vez. .. uma garotinha que se chamava Maria
ela adorava ler livros então sua mãe, Ana. Comprou um livro
pora ela, o nome do livro livros flutuantes, então com muita 
felicidade a garotinha foi ler o livro que sua mãe tinha dado Quando
ela esova ainda no inicio do livro, estova normal. até que, 
de repente, as letras começaram a se movimentar até que as palavras 
sumiram e as páginas do livro começaram a voar pelo quarto. Até
que tudo ficou branco, achei que tinho morrido; mais toda aquela luz
branca estova sumindo aos poucos, eu não estova mais no meu quarto. ou
parecia estar em uma biblioteca, e, ouvi alguma pessoa [X] chamar meu nome
[X] uma senhora de idade, ela me disse que era minha mãe no futuro. Eu
no inicio não acreditei, mais aí ela me mostrou varios livros esses livros
mostrovam eu. [X] Só que era eu
bebê, criana, adoecente, joviam e etc...... alé que eu senti uma pessoa
me triscando mais no momento que eu estava virando eu acordei
e minha mãe disse que hoje viria uma mulher aqui como visita
mais a visita era aquela mulher que disse que era minha mãe no 
meu sonho, e essa historia teve um final estronho mais esse é o fim. ..","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,5,3
572,"[T] Minhas Férias
[P] [X] minhas [X] [X] muito divertiads. No último dia de aula
eu fiquei muito feliz mas, é claro que eu ia estudar. Quando cheguei em 
minha casa, minha mãe me falou que eu ia viajar para casa do meu
tio eu fiquei muito Feliz.
[P] Quando minha Família chegou na rodoviária a viajem Foi can-
celada, eu Fiquei triste outro nós vamos visitar seu tio.
[P] No dia seguinte quando eu estava assistindo TV [X] eu vi
alguém batendo na porta eu olhei era o meu tio eu Fiquei muito
surpresa Foi o melhor dia da minha vida.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
247,"[T] A [?]
EU E MEU PRIMO ESTAVAMOS ENTE
DIADOS E PROCURAMOS NO GUARDA ROUPA E
ENCIMA DO GUARDA ROUPA E ACHAMOS 10
POTES DE TINTA E TIVEMOS A IDEIA DE PIN
TAR A PAREDE E A PORTA DE ANIMAIS
AI MINHA MÃE AI ELA PEDIU PARA EU
EU E MEU PRIMO IR NA PADARIA TEMPO
DEPOIS QUAMDO VOLTAMO MINHA MÃE
FALOU PARA AGENTE COMER AI QUANDO
VOLTAMOS PRO QUARTO A PAREDE E A PORTA
LIMPINHA AI FICAMOS PESANDO QUEM LIPOU
AI ESCUTAMOS UM BARULHO NO QUINTAL
QUANDO FOMOS OLHAR A JANELA NÃO TINHA
NADA AI FOMOS ARRUMAR O QUARTO QUANDO
TERMINAMOS MINHA MÃE ENTROU NO
QUARTO ELA FICOU ORGULHOSA EM VER O
QUARTO LIMPO FOMOS JOGAR NO CELULAR E 
DEPOIS FOMOS DORMIR.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
1090,"[T]O Time de FutEBOL
Era uma vez um Time certo dia marcou
um jogo com o Palmeiras na Terça Feira.
Na Segunda Feira o Palmeiras já Estava
Se preparando para o jogo contra 
o Flamengo Falou que vão ganha o jogo
mais o Palmeiras não vai Deichar o.
Flamengo ganhar o jogo por que o Palmeiras
vence o Flamengo por 3 A 0","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,3,3
573,"[T] Minhas Férias 
[?]s minhas [?]érias foram muito divertidas . No último dia de aula
eu Fiquei muito Feliz mas, é claro que eu ia estrlar. Quando cheguei em 
minha casa minha mãe me falou que eu ia viajar para casa do meu 
tio eu fiquei muito Feliz.
[P] Quando minha Família chegar na rodoviária a viajem Foi can-
celada , eu Fiquei muito triste. Quando nós chegamos em casa minha mãe
me disse-não Fique triste outro dia nós vamos visitar seu tio .
[P] Nó dia seguinte quando eu estava assistindo TV de quando eu vi
alguém batendo na porta eu olei era o meu tio eu fiquei muito
surpreso Foi o meleor dia da minha vida.

falta o detalhe do pássaro no galho da árvore","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
265,"[T] A grande árvore  
[P] Era uma vez uma árvore muito grande eu estava 
sentada na praça junta com a minha amiga 
Maria Clara de repeite nos olhamos para cima o
galho caio e depois disso a gente saiu e nos 
fomos comer na hora que nos voltamos para lá
na hora que nos vimos os galhos no chão a 
gente ficou bem triste porque os galhos tinham 
caido em cima dos bancos onde a gente 
sentava nos ficavamos tristes porque os bancos
eram muitos legais  a gente brincavam em 
cima deles e nos fomos em bora depois  passaram 
os dias passaram foi passando teve um belo 
dia. Que eu chamei a Maria Clara  pra nos 
irmos lá na hora que chegamos lá tinha uma 
bicicleta não tinham dono ou dona nos pegamos 
nos olhamos para o chão e tinha caido da
 bicicleta porque o banco estava muito alto de mais nei 
aguentei a sobi se e nei conseguia e chama a Maria Clara de Maria...","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,2,4,3
660,"[T] O menino que gosta de pintar
Um menino chamado João, viu um pote de tinta
em cima do armário de sua casa. Ele puxou o pote
para retirá-lo de cima, foi ai que ele viu que havía
vários podes escondido, então ele resolveu pintar as
paredes de seu quarto, mas quando sua mãe avistou
aquela cena, ficou furiosa e disse: Limpe isso imediatamente
e logo o menino se intristeceu e foi limpar, mas para sua
tristeza ser ainda maior a tinta não parecia sair, se passaram
vários dia e a tinta não saia. Eai então, o que o menino
resoleu pedir ajuda a seus amigos, que toparam
ajudá-lo, com a ajuda dos amigos o menino conseguiu
retirar toda a tinta da parede do seu quarto. por fim,
o menino pediu desculpas a sua mãe e prometeu
nunca mais fazer isso novamente.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",5,4,5,5
1227,"o rio Benites
[T]as tintas sumiram
[P]quando eu vii que as tintas sumiu eu procurei até acha mais
[P]eu não achei ai eu virei pra outro lado eu vi alguns bicho
que eu [X] ai eu vii que eles pegou minhas tintas só pra
[P]desenha na minha guardaropa","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,2,3,2
429,"[T] As [X] pinturas com as tintas
[P] Eu encontrei , em cima do armário, alguns potes com tintas.
[P] Então, resolvi pintar na parede do meu quarto alguns animais.
[P] Tempo depois, quando voltei no quarto, não havia mais nenhuma tinta
e as roupas da gaveta [X] espalhadas pelo chão. Eu fui falar com
o meu irmãozinho mais novo, para sabe o que tinha acontecido no meu quartos
Quando ei expliquei todo para o meu irmão, Ela disse?
- Irmãzinha, eu não sei o que aconteceu [LC]
Eu vi o papai e a mamãe saindo de lá LC]´
irmão falar isso, eu fui correndo falar com o meu pai !; Quando
eu falei para o meu pai o que o meu irmãozinho tinha falado para
mim, meu pai falou assim:
- Minha filha, não peguei suas tintas, e bagunsei o seu 
guarda-roupa, eu só estava ajudando a sua mãe a arrumar o [X]
guarda-roupa, ela pode saber onde esta as suas tintas e seus [X]
[P] vai correndo para a minha mãe, Onde estava as tintas.
[P] Quando eu cheguei perto da minha mãe, eu falei assim.
- Mamãe, você sabe onde está as minhas tintas e desenhos.
logo ela disse.
- Filha, você promete que não vai mais pintar a
parede
Eu falei:
- Sim
Então a minha mãe falou
-Tambão, eu vou tidar as tintas e os desenhos que você fez no papel.
Então assim, obdeci a minha mãe e fiz só o desenho na folha
de sufite. Fim","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
485,"[T] Cebolinha e cascão em: Contra a poluição
Num belo dia, Cebolinha estava no campinho jogando bola com o 
Cascão. Depois de jogar bola, os dois iam embora para casa,
quando viram um latão de lixo caído no chão e o lixo que
estava dentro se esparramou-se todo no chão. Começaram a 
juntar todo o lixo e colocar dentro do latão de lixo.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",5,1,4,4
514,"[T] Eu ana Julia e as tintas
[P] Um Belo dia eu e minha amiga Ana
Julia estamos brincando no parquinho e
decidimos ir para a minha casa.
[P] Então eu e a Ana Julia estavamos brincan
do ate que a gente encontrou em cima do
armario da cozinha varios potes de tinta, era
uma cor mais linda que a outra, não resistimos
e pegamos todas as cores, assim que chegamos
no meu quarto Ana Julia teve uma grande
ideia. Ana Julia pensou em desenhar animais na
parede usando as tintas eu amei essa ideia, e
começamos a desenhar, desenhamos cachorro, gato
girafa, elefante, onça e muitos outros animais
tambem, decidimos voltar a brincar no
parquinho enquantoi as pinturas secavam.
[P] Finalmente voltamos para ver os desenhos
e quando entramos no meu quarto não tinha
mas nenhum desenho e as roupas estavam
[P] pelo chão.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4,3,5,3
